ID,Control_Family,Control_Enhancement_Name,Control_Step,Control_Step_Content,Acceptable_Evidence
564,AU,Changes by Authorized Individuals,AU-12.03.02.01,The organization defines individuals or roles authorized to change the auditing to be performed on components categorized under the high security baseline as system administrators.,#N/A
565,AU,Changes by Authorized Individuals,AU-12.03.03.01,The organization defines time thresholds within which organization-defined individuals or roles can change the auditing to be performed on components categorized under the high security baseline as near-real time.,#N/A
566,AU,Changes by Authorized Individuals,AU-12.03.04.01,The organization defines selectable event criteria that support the capability for system administrators to change the auditing to be performed on components categorized under the high security baseline as auditable events defined in AU-02.00.01.01 to AU-02.00.04.03.,#N/A
567,AU,Changes by Authorized Individuals,AU-12.03.05.01,The information system provides the capability for system administrators to change the auditing to be performed on components categorized under the high security baseline based on the auditable events defined in AU-02.00.01.01 to AU-02.00.04.03 in near-real time.,#N/A
568,AU,Monitoring for Information Disclosure,AU-13.00.01.01,The organization defines open source information and/or information sites to be monitored for evidence of unauthorized disclosure of organizational information.,#N/A
569,AU,Monitoring for Information Disclosure,AU-13.00.02.01,The organization defines a frequency to monitor organization-defined open source information and/or information sites for evidence of unauthorized disclosure of organizational information.,#N/A
570,AU,Monitoring for Information Disclosure,AU-13.00.03.01,The organization monitors organization-defined open source information and/or information sites for evidence of unauthorized disclosure of organizational information with the organization-defined frequency.,#N/A
571,AU,Use of Automated Tools,AU-13.01.01.01,The organization employs automated mechanisms to determine if organizational information has been disclosed in an unauthorized manner.,#N/A
572,AU,Review of Monitored Sites,AU-13.02.01.01,The organization defines a frequency to review the open source information sites being monitored.,#N/A
573,AU,Review of Monitored Sites,AU-13.02.02.01,The organization reviews the open source information sites being monitored with the organization-defined frequency.,#N/A
574,AU,Session Audit,AU-14.00.01.01,The information system provides the capability for authorized users to select a user session to capture/record.,#N/A
575,AU,Session Audit,AU-14.00.02.01,The information system provides the capability for authorized users to select a user session to view/hear.,#N/A
576,AU,System Start-Up,AU-14.01.01.01,The information system initiates session audits at system start-up.,#N/A
577,AU,Capture / Record and Log Content,AU-14.02.01.01,The information system provides the capability for authorized users to capture/record content related to a user session.,#N/A
578,AU,Capture / Record and Log Content,AU-14.02.02.01,The information system provides the capability for authorized users to log content related to a user session.,#N/A
579,AU,Remote Viewing / Listening,AU-14.03.01.01,The information system provides the capability for authorized users to remotely view/hear all content related to an established user session in real time.,#N/A
580,AU,Alternate Audit Capability,AU-15.00.01.01,The organization defines alternative audit functionality to be provided in the event of a failure in primary audit capability.,#N/A
581,AU,Alternate Audit Capability,AU-15.00.02.01,The organization provides an alternative audit capability in the event of a failure in primary audit capability that provides organization-defined alternative audit functionality.,#N/A
582,AU,Cross-Organizational Auditing,AU-16.00.01.01,The organization defines audit information to be coordinated among external organizations when audit information is transmitted across organizational boundaries.,#N/A
583,AU,Cross-Organizational Auditing,AU-16.00.02.01,The organization defines methods for coordinating organization-defined audit information among external organizations when audit information is transmitted across organizational boundaries.,#N/A
584,AU,Cross-Organizational Auditing,AU-16.00.03.01,The organization employs organization-defined methods for coordinating organization-defined audit information among external organizations when audit information is transmitted across organizational boundaries.,#N/A
585,AU,Identity Preservation,AU-16.01.01.01,The organization requires that the identity of individuals be preserved in cross-organizational audit trails.,#N/A
586,AU,Sharing of Audit Information,AU-16.02.01.01,The organization defines organizations with whom cross-organizational audit information is to be shared.,#N/A
587,AU,Sharing of Audit Information,AU-16.02.02.01,The organization defines cross-organizational sharing agreements to be used when providing cross-organizational audit information to organization-defined organizations.,#N/A
