ID,Control Family,Control Enhancement Name,Control Step,Control Step Content
187,AU,Auditable Events,AU-02.00.01.01,"The organization defines the auditable events that the information system must be capable of auditing as:
1) Startup and shutdown
2) Loading and unloading of services (only applicable to operating systems)
3) Installation and removal of software (only applicable to operating systems)
4) System alerts and error messages
5) User logon and logoff
6) Administrative activities (excluding privileged functions outlined in AC-06.09.01.01)
7) Modification of privileges and access controls"
188,AU,Auditable Events,AU-02.00.01.02,"The organization determines, based on a risk assessment and mission/business needs, that the information system is capable of auditing the following events:
1) Startup and shutdown
2) Loading and unloading of services (only applicable to operating systems)
3) Installation and removal of software (only applicable to operating systems)
4) System alerts and error messages
5) User logon and logoff
6) Administrative activities (excluding privileged functions outlined in AC-06.09.01.01)
7) Modification of privileges and access controls"
189,AU,Auditable Events,AU-02.00.02.01,The organization coordinates the security audit function with other organizational entities requiring audit-related information to enhance mutual support and to help guide the selection of auditable events 
190,AU,Auditable Events,AU-02.00.03.01,The organization provides a rationale for why the list of auditable events are deemed to be adequate to support after-the-fact investigations of security incidents.
191,AU,Auditable Events,AU-02.00.04.01,The organization defines the subset of auditable events defined in AU-02.00.01.01 to AU-02.00.01.02 that are to be audited within the information system.
192,AU,Auditable Events,AU-02.00.04.02,The organization determines that the subset of auditable events defined in AU-02.00.01.01 to AU-02.00.01.02 are to be audited within the information system.
193,AU,Auditable Events,AU-02.00.04.03,"The organization determines the frequency of (or situation requiring) auditing for each identified event as any deviations from the list in AU-02.00.01.01 to AU-02.00.01.02, along with justifications, must be documented in relevant system security plans. "
194,AU,Reviews and Updates,AU-02.03.01.01,The organization determines the frequency of reviews and updates to the list of organization-defined auditable events as defined in AU-02.00.01.01 as annually. 
195,AU,Reviews and Updates,AU-02.03.02.01,The organization reviews and updates the list of organization-defined auditable events defined in AU-02.00.01.01 annually. 
196,AU,Content of Audit Records,AU-03.00.01.01,The information system generates audit records containing information that establishes what type of event occurred.
197,AU,Content of Audit Records,AU-03.00.02.01,The information system generates audit records containing information that establishes when (date and time) the event occurred.
198,AU,Content of Audit Records,AU-03.00.03.01,The information system generates audit records containing information that establishes where the event occurred. 
199,AU,Content of Audit Records,AU-03.00.04.01,The information system generates audit records containing information that establishes the source of the event.
